"ID","cub_AIC","cla_AIC","gom_AIC","bar_AIC","bucha_AIC","cla_deltaAIC","gom_deltaAIC","bar_deltaAIC","bucha_deltaAIC","cub_deltaAIC","SampleSize","cla_AICc","gom_AICc","bar_AICc","bucha_AICc","cub_AICc","cla_deltaAICc","gom_deltaAICc","bar_deltaAICc","bucha_deltaAICc","cub_deltaAICc","cla_AIC_Wt","gom_AIC_Wt","bar_AIC_Wt","bucha_AIC_Wt","cub_AIC_Wt","cla_AICc_Wt","gom_AICc_Wt","bar_AICc_Wt","bucha_AICc_Wt","cub_AICc_Wt"
62,-27.71199227069,-42.8828252089723,10.1921486486757,-38.5652200505781,-4.32883886457912,0,53.074973857648,4.31760515839422,38.5539863443932,15.1708329382823,14,-40.4828252089723,12.5921486486757,-34.1207756061336,3.17116113542088,-23.2675478262456,0,53.074973857648,6.36204960283867,43.6539863443932,17.2152773827267,0.896080549445727,2.67462508662217e-12,0.103464414121611,3.80588172948549e-09,0.000455032624105011,0.959945538000556,2.86524957975645e-12,0.0398790749977254,3.18349302779238e-10,0.000175386680504145
63,-23.6945428939937,-43.1094801893193,10.7866542682895,-46.729717090853,-46.5767760069731,3.6202369015337,57.5163713591426,0,0.152941083879959,23.0351741968593,13,-40.4428135226527,13.4533209349562,-41.729717090853,-38.0053474355445,-18.6945428939937,0,53.8961344576089,-1.28690356820037,2.43746608710816,21.7482706286589,0.0782932070476753,1.54998390175357e-13,0.478463196941728,0.443238833630766,4.76237967525386e-06,0.31263073605945,6.1892037171302e-13,0.594948306048575,0.0924150360780611,5.92181329444555e-06
64,-8.68173285949077,-41.5059937811498,-12.5493034837184,-103.052457350967,4.67361930235471,61.5464635698175,90.5031538672489,0,107.726076653322,94.3707244914766,16,-39.5059937811498,-10.5493034837184,-99.4160937146037,10.6736193023547,-5.04536922312713,0,28.9566902974314,-59.9100999334539,50.1796130835046,34.4606245580227,4.3187219648131e-14,2.2258189743564e-20,0.999999999999957,4.05116261435537e-24,3.2185299148931e-21,9.78784524911807e-14,5.04454138308806e-20,0.999999999999902,1.24257485590831e-24,3.21852991489294e-21
65,-9.43953731926866,16.1359915774587,21.4207106746271,-13.9524107833921,-9.50288058645049,30.0884023608508,35.3731214580192,0,4.44953019694162,4.51287346412345,15,18.3178097592768,23.6025288564453,-9.9524107833921,-2.83621391978382,-5.43953731926866,13.8049362951534,19.0896553923219,-14.4652842475156,-7.34908738390727,-9.9524107833921,2.41318985125739e-07,1.71802436641378e-08,0.824527314911194,0.0891254717672452,0.086346954822332,6.41042226931728e-07,4.56377754611813e-08,0.882443747679538,0.0251434295763664,0.0924121360640928
66,-20.7959009773552,-43.2958602536085,1.79624604629484,-38.7380054907673,13.5500303142524,0,45.0921062999033,4.55785476284112,56.8458905678609,22.4999592762532,16,-41.2958602536085,3.79624604629484,-35.1016418544037,19.5500303142524,-17.1595373409916,0,45.0921062999033,6.19421839920475,60.8458905678609,24.1363229126168,0.907106008386952,1.46565438561379e-10,0.0928821922279645,4.10893950544345e-13,1.17992381070287e-05,0.956768090733823,1.54589577759821e-10,0.043226417867355,5.86528909035463e-14,5.4912441738997e-06
67,-12.830453599437,-43.8162169269815,6.19549301229114,-27.4758984906791,-12.3937766469835,0,50.0117099392727,16.3403184363024,31.422440279998,30.9857633275446,14,-41.4162169269815,8.59549301229114,-23.0314540462347,-4.89377664698355,-8.38600915499251,0,50.0117099392727,18.3847628807468,36.522440279998,33.030207771989,0.999716770193329,1.38029574388873e-11,0.000282892812049796,1.5016916525706e-07,1.86811652472123e-07,0.999898119289008,1.38054613019051e-11,0.000101801743601889,1.1727585609019e-08,6.72259991655946e-08
68,-5.23318964505301,-34.1858592345608,-68.5083909125801,-84.6432468484644,6.44532008434664,50.4573876139036,16.1348559358844,0,91.088566932811,79.4100572034114,16,-32.1858592345608,-66.5083909125801,-81.0068832121008,12.4453200843466,-1.59682600868938,34.3225316780192,0,-14.4984922995207,78.9537109969267,64.9115649038907,1.10453968810092e-11,0.000313490498050418,0.999686509490904,1.66047690589871e-20,5.7041246304396e-18,2.50230817674119e-11,0.000710205205890763,0.999289794769086,5.09100291299431e-21,5.70186101060028e-18
69,-4.49473970133222,10.3467531050855,9.20949116336604,-43.8160414853762,-39.3873715905718,54.1627945904617,53.0255326487423,0,4.42866989480446,39.321301784044,16,12.3467531050855,11.209491163366,-40.1796778490126,-33.3873715905718,-0.858376064968585,1.13726194171941,0,-51.3891690123786,-44.5968627539378,-12.0678672283346,1.56199089913532e-12,2.75823834692615e-12,0.90152942600253,0.098470571384188,2.60896176031016e-09,3.79943623928569e-12,6.70922649914288e-12,0.967584091829062,0.0324159053603103,2.80011924475926e-09
70,-5.04011074682292,-14.9955128263615,-6.78267400013449,-24.5705651519461,5.23370611815212,9.5750523255846,17.7878911518116,0,29.8042712700982,19.5304544051232,14,-12.5955128263615,-4.38267400013449,-20.1261207075017,12.7337061181521,-0.595666302378472,0,8.21283882622703,-7.53060788114015,25.3292189445136,11.9998465239831,0.0082625830743637,0.00013605689248834,0.991544097294286,3.34500490261072e-07,5.69282383718455e-05,0.0226265968222704,0.000372583782034982,0.976944657841921,7.15235774996745e-08,5.60900301958222e-05
71,24.1233891110808,-44.394294831817,11.9501420355314,24.8014630294386,36.1983186910434,0,56.3444368673484,69.1957578612556,80.5926135228604,68.5176839428979,15,-42.2124766499989,14.1319602173495,28.8014630294386,42.8649853577101,28.1233891110808,0,56.3444368673484,71.0139396794375,85.0774620077089,70.3358657610797,0.999999999999416,5.82050935088315e-13,9.4261011299737e-16,3.15890330651818e-18,1.32304304890877e-15,0.999999999999417,5.82050935088316e-13,3.79768491502122e-16,3.35477855250909e-19,5.33041239371736e-16
